paper,coefficient number,regression number,original p-value,randomization inference p-value,reported treatment effect indicator,leverage
AshrafBerryShapiro_2010,10.0,4.0,0.7116328696123371,0.7055294470552945,0,
AshrafBerryShapiro_2010,11.0,4.0,0.2268247619759428,0.2369264676417551,0,
AshrafBerryShapiro_2010,12.0,5.0,0.0098764594784428,0.0123987601239876,1,0.0123429427146697
AshrafBerryShapiro_2010,13.0,5.0,0.2885166269913331,0.2866713328667133,0,
AshrafBerryShapiro_2010,14.0,5.0,0.3258746175933568,0.3206679332066793,0,
AshrafBerryShapiro_2010,15.0,5.0,0.4154283272505216,0.4106589341065893,0,
AshrafBerryShapiro_2010,16.0,5.0,0.5978460450683107,0.6023397660233977,0,
AshrafBerryShapiro_2010,17.0,5.0,0.7613178326630692,0.7590240975902409,0,
AshrafBerryShapiro_2010,18.0,5.0,0.8788686747338299,0.8772122787721228,0,
AshrafBerryShapiro_2010,19.0,5.0,0.1318595514062481,0.1372607955114718,0,
AshrafBerryShapiro_2010,20.0,6.0,0.0326110358737482,0.0304969503049695,1,0.0121018349962225
AshrafBerryShapiro_2010,21.0,6.0,0.3434945282385595,0.3395660433956604,0,
AshrafBerryShapiro_2010,22.0,6.0,0.0915405686838626,0.0836916308369163,0,
AshrafBerryShapiro_2010,23.0,6.0,0.3888736036520815,0.3826617338266173,0,
AshrafBerryShapiro_2010,24.0,6.0,0.6955979347985097,0.6954304569543046,0,
AshrafBerryShapiro_2010,25.0,6.0,0.3910346127756663,0.3955604439556044,0,
AshrafBerryShapiro_2010,26.0,6.0,0.8781866939647083,0.8773122687731227,0,
AshrafBerryShapiro_2010,27.0,6.0,0.0956700311809009,0.0966836990281534,0,
AshrafBerryShapiro_2010,28.0,7.0,0.0079729793071365,0.0086991300869913,1,0.012688696481996
AshrafBerryShapiro_2010,29.0,7.0,0.5397963789728846,0.538046195380462,0,
AshrafBerryShapiro_2010,30.0,7.0,0.1720423816863851,0.1657834216578342,0,
AshrafBerryShapiro_2010,31.0,7.0,0.377160339520334,0.378962103789621,0,
